,d_pad,t_pad,d_us,d_rep1,t_ubm,del_d,h_ball,max_conc,min_conc
0,150.3196571878,17.594014639183,218.4885579376,145.65151210523,7.9392692915191,19.293995819648,154.77628467234,1.02821371,0.93433114
1,177.05263010173,22.34855281578,189.27217183069,98.928538355609,10.941861682154,12.235633352824,162.90517530126,1.03143629,0.951576713
2,165.16489684627,18.236923079276,182.81985679601,64.621468956726,11.109719058768,31.196610859365,143.93687751545,1.05207979,0.934823975
3,159.78915478257,23.169295738268,202.79745062929,54.344873479359,13.706428993035,34.519486690153,149.09209666265,1.03836386,0.927827821
4,172.05532460825,28.539005971374,188.78939706825,156.36515095358,8.2588856534162,31.570211822842,146.81978067898,1.05935503,0.95176478
5,152.69180002882,18.094156783979,206.57641121793,129.75481802422,9.7796976661923,27.189645103084,138.3603958156,1.02856872,0.934280403
6,161.38630019111,21.362069580776,219.91684742854,138.30617233115,7.3467584024503,12.097273560482,149.28696221034,1.0254949,0.947454681
7,171.48645564817,25.874297943296,215.88350873361,114.23808754409,13.597827183767,36.612148702293,136.80868473273,1.0262657,0.931534116
8,179.53369000242,22.377463256359,197.27981854745,80.52065207375,9.1439624646782,16.742880034055,157.07983352703,1.03802575,0.945124646
9,170.63873374467,25.997241468762,217.10910232243,87.297607557646,5.7165661155862,22.343927858964,140.90426265209,1.03583477,0.946887857
10,164.99680771092,22.674662274198,212.49321315705,109.90998946207,14.684730247303,24.060148127877,148.40582318566,1.02962451,0.930832862
11,156.42174391475,27.039442269673,206.93209020713,159.42668055392,8.3977436756242,11.398814649194,153.5347674541,1.0278301,0.953485881
12,155.22093056373,29.877542278446,199.94402010027,50.578990700071,9.0592800451441,25.021692499979,130.8544591803,1.03603817,0.931793365
13,178.28389609703,29.475494523367,204.99370759304,117.03558770648,13.104720560481,38.396295371059,139.97921551917,1.02220455,0.946161897
14,151.71286122546,26.20067940533,180.92631790278,139.23844067518,14.072878584063,13.1999248905,159.37948764668,1.02533927,0.956361798
15,167.54669971004,26.474190824198,208.34743703807,117.85289043651,8.4608009982039,12.781676772086,139.74965992471,1.0220763,0.949942409
16,178.13437768456,20.038085148451,216.6438360626,144.12988271608,5.4682406739212,28.509785450771,155.54010780797,1.02054388,0.951218926
17,166.07904697679,18.818923375976,194.74922175588,67.60295212923,13.354104320898,11.766573724391,131.0765481703,1.06048052,0.935152414
18,179.00747021729,20.471898866513,209.71770087876,111.78212400079,10.043230084087,29.411178360099,161.26943720749,1.03833688,0.935839014
19,154.04643423185,28.006686651662,192.01651906959,131.00308855272,12.889635818303,21.643291237439,151.92746823774,1.02635645,0.952578613
20,162.96631549043,24.274764754705,183.41703274383,72.769870509263,12.621269673499,37.977093927146,158.98105166659,1.0288004,0.946753312
21,157.07581493946,20.623335058988,193.00631622741,97.102801987695,14.322119073016,22.962430720036,163.9535851613,1.03186529,0.936626793
22,172.28271948657,22.183379657243,202.2244368454,136.91610400057,14.436787950301,34.885987512252,159.69000494602,1.02380277,0.948641385
23,172.52432383895,25.002127651656,197.82373873719,82.368243633622,12.934339025155,31.783637983014,130.31051105739,1.03589601,0.941120726
24,176.10535739756,24.472728041246,214.64535822912,75.135069648263,9.6794203873457,30.510002306337,138.59513418764,1.0382461,0.930114431
25,158.45249476533,22.942859664926,182.12905814144,120.44959298619,13.273600440569,24.528435923568,153.17532596195,1.01838045,0.955615621
26,178.72833409775,22.015630304009,212.87357787968,93.229767426545,11.994976899507,37.250751515269,163.25244742676,1.03755973,0.937010144
27,169.73176562809,21.221467981039,196.55948160868,41.30102345097,12.102992735741,21.845032629185,160.67105281852,1.0665391,0.923784594
28,157.76613065041,28.137798152248,193.72232604093,33.062398427834,10.554119220612,20.93248838067,135.21487089907,1.09616003,0.90998832
29,169.30973042195,17.166785561667,202.9731931599,132.19801660368,11.89846058087,21.223999645197,160.80187894643,1.02352348,0.948822932
30,163.41163602888,23.936468290096,204.35483018046,148.6728965066,6.2612313248901,32.073948205195,158.16071722848,1.02485782,0.949498871
31,156.75565535745,18.685020551873,195.20865097521,94.941895713893,10.414122992486,14.827516373913,139.16087646933,1.04162193,0.929316564
32,162.09347326792,17.95703064255,201.00487009963,123.65515738613,14.850360891227,35.355310800135,152.76195832344,1.02375436,0.940882567
33,167.09937640832,16.784376561151,187.63942416978,122.85169465883,12.569025987557,39.978263356616,133.28859017692,1.02912704,0.939731368
34,167.3836949365,19.376778151742,186.11774278452,143.0537934301,14.12426915446,20.300082589895,148.80355528665,1.0209751,0.943106939
35,165.8543773923,23.697028031979,213.74073886516,60.819636026139,8.6462800073268,17.057949689051,132.12529257743,1.04029588,0.930413955
36,177.78957400811,23.007028016362,184.37674163818,48.399431749035,6.9241583776616,25.637249025626,151.09065174182,1.05514559,0.907958104
37,171.79102325465,16.332311046185,190.55875718949,149.7135649592,9.2266613694567,29.768745662698,140.50439322501,1.03348885,0.944894366
